url,name,from,to,pos,ht,wt,dob,college,active
/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,6-7,243,"February 10, 1986",University of Connecticut,True
/players/a/afflaar01.html,Arron Afflalo,2008,2015,G,6-5,215,"October 15, 1985","University of California, Los Angeles",True
/players/a/agerma01.html,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,False
/players/a/aguirma01.html,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,False
/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,False
/players/a/aingeda01.html,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,False
/players/a/aitchma01.html,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,False
/players/a/ajincal01.html,Alexis Ajinca,2009,2015,C,7-0,220,"May 6, 1988",,True
/players/a/akinhe01.html,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,False
/players/a/akognjo01.html,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",True
/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,True
/players/a/alarima01.html,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,False
/players/a/alcorga01.html,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",False
/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,6-9,229,"August 9, 1991",,True
/players/a/aldrico01.html,Cole Aldrich,2011,2015,C,6-11,245,"October 31, 1988",University of Kansas,True
/players/a/aldrila01.html,LaMarcus Aldridge,2007,2015,F,6-11,240,"July 19, 1985",University of Texas at Austin,True
/players/a/aleksch01.html,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,False
/players/a/alexaco01.html,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,False
/players/a/alexaco02.html,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",False
/players/a/alexaga01.html,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,False
/players/a/alexajo01.html,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,False
/players/a/alexavi01.html,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,False
/players/a/alforst01.html,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,False
/players/a/allenbi01.html,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,False
/players/a/allenbo01.html,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,False
/players/a/allenje01.html,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,False
/players/a/allenla01.html,Lavoy Allen,2012,2015,F,6-9,225,"February 4, 1989",Temple University,True
/players/a/allenlu01.html,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",False
/players/a/allenma01.html,Malik Allen,2002,2011,F,6-10,255,"June 27, 1978",Villanova University,False
/players/a/allenra01.html,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,False
/players/a/allenra02.html,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,True
/players/a/allento01.html,Tony Allen,2005,2015,G,6-4,213,"January 11, 1982",Oklahoma State University,True
/players/a/allenwi01.html,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,False
/players/a/allisod01.html,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",False
/players/a/allrela01.html,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,False
/players/a/allumda01.html,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",False
/players/a/almonmo01.html,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,False
/players/a/alstode01.html,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,False
/players/a/alstora01.html,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",False
/players/a/alumape01.html,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,False
/players/a/amaecjo01.html,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,False
/players/a/amayaas01.html,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,False
/players/a/aminual01.html,Al-Farouq Aminu,2011,2015,F,6-9,215,"September 21, 1990",Wake Forest University,True
/players/a/amundlo01.html,Louis Amundson,2007,2015,F,6-9,225,"December 7, 1982","University of Nevada, Las Vegas",True
/players/a/anderbo01.html,Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,False
/players/a/anderch01.html,Chris Andersen,2002,2015,F,6-10,230,"July 7, 1978",Blinn College,True
/players/a/anderda03.html,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,False
/players/a/anderal01.html,Alan Anderson,2006,2015,G-F,6-6,220,"October 16, 1982",Michigan State University,True
/players/a/anderan01.html,Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,False
/players/a/anderan02.html,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,False
/players/a/andercl01.html,Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,False
/players/a/anderda01.html,Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,False
/players/a/anderda02.html,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,False
/players/a/anderde01.html,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,False
/players/a/anderdw01.html,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,False
/players/a/anderer01.html,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,False
/players/a/andergr01.html,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,False
/players/a/anderjj01.html,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,False
/players/a/anderja01.html,James Anderson,2011,2014,G,6-6,215,"March 25, 1989",Oklahoma State University,True
/players/a/anderje01.html,Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,False
/players/a/anderke01.html,Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,False
/players/a/anderki01.html,Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,False
/players/a/anderky01.html,Kyle Anderson,2015,2015,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles",True
/players/a/andermi01.html,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,False
/players/a/anderni01.html,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,False
/players/a/anderri01.html,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",False
/players/a/anderro01.html,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",False
/players/a/anderry01.html,Ryan Anderson,2009,2015,F,6-10,240,"May 6, 1988",University of California,True
/players/a/andersh01.html,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,False
/players/a/anderwi01.html,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,False
/players/a/anderwa01.html,Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,False
/players/a/andrima01.html,Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",,False
/players/a/anieldo01.html,Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,False
/players/a/anslemi01.html,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,False
/players/a/anstech01.html,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,False
/players/a/antetgi01.html,Giannis Antetokounmpo,2014,2015,G-F,6-11,217,"December 6, 1994",,True
/players/a/anthoca01.html,Carmelo Anthony,2004,2015,F,6-8,230,"May 29, 1984",Syracuse University,True
/players/a/anthogr01.html,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",False
/players/a/anthojo01.html,Joel Anthony,2008,2015,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",True
/players/a/anticpe01.html,Pero Antic,2014,2015,F,6-11,260,"July 29, 1982",,True
/players/a/araujra01.html,Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,False
/players/a/arcenst01.html,Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,False
/players/a/archiro01.html,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,False
/players/a/architi01.html,Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,False
/players/a/ardji01.html,Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,False
/players/a/arenagi01.html,Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,False
/players/a/arizatr01.html,Trevor Ariza,2005,2015,F,6-8,200,"June 30, 1985","University of California, Los Angeles",True
/players/a/arizipa01.html,Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,False
/players/a/arlaujo01.html,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,False
/players/a/armstbj01.html,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,False
/players/a/armstbo01.html,Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,False
/players/a/armstbr01.html,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,False
/players/a/armstcu01.html,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,False
/players/a/armstda01.html,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,False
/players/a/armsthi01.html,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,True
/players/a/armstta01.html,Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,False
/players/a/arnelje01.html,Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,False
/players/a/arnetja01.html,Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,False
/players/a/arnzebo01.html,Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,False
/players/a/arroyca01.html,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,False
/players/a/arthuda01.html,Darrell Arthur,2009,2015,F,6-9,225,"March 25, 1988",University of Kansas,True
/players/a/arthujo01.html,John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,False
/players/a/asikom01.html,Omer Asik,2011,2015,C,7-0,255,"July 4, 1986",,True
/players/a/askewvi01.html,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,False
/players/a/askinke01.html,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,False
/players/a/asmondo01.html,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,False
/players/a/athadi01.html,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,False
/players/a/atkinch01.html,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,False
/players/a/attleal01.html,Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,False
/players/a/aubucch01.html,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,False
/players/a/augmost01.html,Stacey Augmon,1992,2006,F-G,6-6,205,"August 1, 1968","University of Nevada, Las Vegas",False
/players/a/augusdj01.html,D.J. Augustin,2009,2015,G,6-0,180,"November 10, 1987",University of Texas at Austin,True
/players/a/augusja01.html,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,False
/players/a/austiis01.html,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,False
/players/a/austijo01.html,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,False
/players/a/austike01.html,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,False
/players/a/aventan01.html,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,False
/players/a/averibi01.html,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,False
/players/a/averywi01.html,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,False
/players/a/awtrede01.html,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,False
/players/a/ayongu01.html,Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",,True
/players/p/pendeje02.html,Jeff Ayres,2010,2015,F,6-9,240,"April 29, 1987",Arizona State University,True
/players/a/azubuke01.html,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,False
/players/b/babbch01.html,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,True
/players/b/babbilu01.html,Luke Babbitt,2011,2015,F,6-9,225,"June 20, 1989","University of Nevada, Reno",True
/players/b/babicmi01.html,Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,False
/players/b/bachjo01.html,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,False
/players/b/baconhe01.html,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,False
/players/b/baechji01.html,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,False
/players/b/bagarda01.html,Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",,False
/players/b/baglejo01.html,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,False
/players/b/baileca01.html,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,False
/players/b/bailegu01.html,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,False
/players/b/baileja01.html,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,False
/players/b/baileth01.html,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,False
/players/b/baileto01.html,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",False
/players/b/bairsca01.html,Cameron Bairstow,2015,2015,F,6-9,250,"December 7, 1990",University of New Mexico,True
/players/b/bakerji01.html,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,False
/players/b/bakerla01.html,LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,False
/players/b/bakerma01.html,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,False
/players/b/bakerno01.html,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,False
/players/b/bakervi01.html,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,False
/players/b/balkmre01.html,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,True
/players/b/ballce01.html,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,False
/players/b/ballagr01.html,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,False
/players/b/baltihe01.html,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,False
/players/b/banksge01.html,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,False
/players/b/banksma01.html,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",False
/players/b/bankswa01.html,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,False
/players/b/bannike01.html,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College,False
/players/b/bantomi01.html,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,False
/players/b/barbejo01.html,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",False
/players/b/barbole01.html,Leandro Barbosa,2004,2015,G,6-3,176,"November 28, 1982",,True
/players/b/bardost01.html,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,False
/players/b/bareajo01.html,Jose Barea,2007,2015,G,6-0,175,"June 26, 1984",Northeastern University,True
/players/b/bargnan01.html,Andrea Bargnani,2007,2015,F,7-0,225,"October 26, 1985",,True
/players/b/barkecl01.html,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,False
/players/b/barketo01.html,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,False
/players/b/barklch01.html,Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,False
/players/b/barkler01.html,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,False
/players/b/barksdo01.html,Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",False
/players/b/barneha02.html,Harrison Barnes,2013,2015,F,6-8,210,"May 30, 1992",University of North Carolina,True
/players/b/barneha01.html,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,False
/players/b/barneji01.html,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,False
/players/b/barnema01.html,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College,False
/players/b/barnema02.html,Matt Barnes,2004,2015,F,6-7,235,"March 9, 1980","University of California, Los Angeles",True
/players/b/barnedi01.html,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University,False
/players/b/barneji02.html,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon,False
/players/b/barnena01.html,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,False
/players/b/barnhjo01.html,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University,False
/players/b/barnhno01.html,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State University,False
/players/b/barnhle01.html,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame,False
/players/b/barrjo01.html,John Barr,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University,False
/players/b/barrmi01.html,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University,False
/players/b/barrmo01.html,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University,False
/players/b/barrean01.html,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University,False
/players/b/barreer01.html,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University,False
/players/b/barremi01.html,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology,False
/players/b/barroea01.html,Earl Barron,2006,2013,C,7-0,245,"August 14, 1981",University of Memphis,True
/players/b/barroda01.html,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,False
/players/b/barrybr01.html,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University,False
/players/b/barrydr01.html,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology,False
/players/b/barryjo01.html,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology,False
/players/b/barryri01.html,Rick Barry*,1966,1980,F,6-7,205,"March 28, 1944",University of Miami,False
/players/b/barteed01.html,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University,False
/players/b/bartovi01.html,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University,False
/players/b/bartowi01.html,Will Barton,2013,2015,G,6-6,174,"January 6, 1991",University of Memphis,True
/players/b/basdeed01.html,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte,False
/players/b/baskeje01.html,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University,False
/players/b/bassbr01.html,Brandon Bass,2006,2015,F,6-8,240,"April 30, 1985",Louisiana State University,True
/players/b/basseti01.html,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia,False
/players/b/bastoma01.html,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan,False
/players/b/bateeme01.html,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,False
/players/b/batesbi01.html,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,False
/players/b/batises01.html,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,False
/players/b/batismi01.html,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University,False
/players/b/battito01.html,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University,False
/players/b/battish01.html,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University,True
/players/b/battljo01.html,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,False
/players/b/battlke01.html,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964",University of Illinois at Urbana-Champaign,False
/players/b/battoda01.html,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame,False
/players/b/battsll01.html,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati,False
/players/b/batumni01.html,Nicolas Batum,2009,2015,F,6-8,200,"December 14, 1988",,True
/players/b/baumjo01.html,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University,False
/players/b/baumhfr01.html,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,False
/players/b/baxtelo01.html,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland,False
/players/b/bayleje01.html,Jerryd Bayless,2009,2015,G,6-3,200,"August 20, 1988",University of Arizona,True
/players/b/bayloel01.html,Elgin Baylor*,1959,1972,F,6-5,225,"September 16, 1934",Seattle University,False
/players/b/bayneho01.html,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee,False
/players/b/baynear01.html,Aron Baynes,2013,2015,C,6-10,260,"December 9, 1986",Washington State University,True
/players/b/bazarse01.html,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,False
/players/b/bazemke01.html,Kent Bazemore,2013,2015,G,6-5,201,"July 1, 1989",Old Dominion University,True
/players/b/beached01.html,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia University,False
/players/b/bealbr01.html,Bradley Beal,2013,2015,G,6-5,207,"June 28, 1993",University of Florida,True
/players/b/beardal01.html,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University,False
/players/b/beardbu01.html,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",University of Louisville,False
/players/b/beardra01.html,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",University of Kentucky,False
/players/b/beaslch01.html,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",Southern Methodist University,False
/players/b/beaslje01.html,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980",University of North Dakota,False
/players/b/beasljo01.html,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University,False
/players/b/beaslmi01.html,Michael Beasley,2009,2014,F,6-9,235,"January 9, 1989",Kansas State University,True
/players/b/beatyze01.html,Zelmo Beaty,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,False
/players/b/beaubro01.html,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,True
/players/b/beckby01.html,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",University of Denver,False
/players/b/beckco01.html,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971",University of Arkansas,False
/players/b/becker01.html,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",University of Pennsylvania,False
/players/b/beckear01.html,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State University,False
/players/b/beckemo01.html,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne University,False
/players/b/bedelbo01.html,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford University,False
/players/b/bedfowi01.html,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis,False
/players/b/beendha01.html,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,False
/players/b/behagro01.html,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",University of Minnesota,False
/players/b/behnkel01.html,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley University,False
/players/b/belinma01.html,Marco Belinelli,2008,2015,G,6-5,192,"March 25, 1986",,True
